reg_no,,week_0,week_1,week_2,total
1947150,,100,45,35,180
1947139,,0,90,75,165
1947112,,100,75,85,260
1947120,,100,95,75,270
1947123,,0,90,85,175
1947105,,80,75,73,76
1947138,,100,80,75,255
1947135,,100,90,83,273
1947126,,0,85,90,175
1947149,,100,75,85,260
1947117,,0,85,90,175
1947133,,50,30,33,113
1947128,,0,16,17,33
1947134,,95,90,83,268
1947151,,0,40,0,40
1947153,,20,19,16,55
1947116,,0,80,85,165
